first_name,last_name,date_of_birth,weight
Lanae,Senchenko,1974-11-22,51.24
Orelle,Trematick,1986-06-07,55.37
Haywood,Calam,2007-04-03,15.83
Marten,Panner,2000-07-23,80.84
Emlen,Lowing,2014-09-13,37.72
Moise,Knok,2017-10-08,35.82
Sollie,Chinge de Hals,1973-12-15,45.84
Jo,Derricoat,1970-09-01,47.95
Britt,Castagneri,2002-09-18,23.55
Arlie,Rozenbaum,2014-11-13,91.26
Ellynn,Henrych,1978-04-18,11.71
Elfrieda,Baldack,2010-09-22,33.95
Deloria,Ropp,1981-02-25,19.33
Kerry,Birtwisle,1983-08-18,58.3
Sloan,Kluger,1979-01-13,43.36
Jennee,Sellor,2011-06-30,92.28
Luca,Skingley,1998-10-07,69.01
Karel,Cucuzza,2001-03-31,38.74
Alexi,Pietersma,2005-05-17,84.79
Ardys,Coll,2009-02-07,73.93
Kris,Carlaw,1991-08-14,12.0
Garret,Saipy,1973-03-26,37.81
Karina,Shallcrass,2006-03-08,53.95
Raff,Pitcher,2020-03-12,72.14
Lincoln,MacNally,2004-03-20,4.28
Morry,Elmar,2019-01-17,2.69
Lib,Whyler,2014-06-18,4.96
Winslow,Bussel,2004-01-10,83.4
Yolane,Derricoat,1989-07-12,96.75
Ashbey,Claremont,1992-10-25,35.41
Florian,Shakeshaft,1993-07-07,73.0
Valeda,Downer,1993-03-07,9.49
Gabrila,Cosbey,2002-01-31,93.26
Karlan,Minkin,1981-04-23,65.13
Harbert,Aukland,2004-02-08,50.19
Cindra,Portingale,1977-12-15,41.77
Richmound,Ashbee,2000-07-23,48.68
Catarina,McGillacoell,2014-07-24,56.26
Oriana,Juett,1987-04-02,24.89
Betsy,Winsbury,2003-01-05,74.42
Fenelia,Jeffrey,1991-08-14,11.02
Leigh,Linklater,1986-07-10,72.22
Garrek,Eymor,2020-11-06,83.34
Camala,Camblin,1970-05-20,84.27
Daniele,Bickerstasse,2005-01-02,65.86
Angelika,Dawidsohn,1998-09-26,97.34
Radcliffe,Legendre,1975-08-31,91.58
Mariel,Cabel,1992-09-20,54.29
Ambrosio,Dyer,1996-01-12,79.46
Tansy,Grinsdale,2021-03-07,67.28
Bent,Aronov,1971-08-16,76.23
Jaquenette,Clears,2016-09-26,31.22
Garfield,Eggar,1971-02-08,58.43
Manuel,Bielby,1975-05-02,25.64
Glynis,Lys,1998-01-27,61.87
Tonia,Hort,1981-05-27,67.92
Teddy,Davidde,2017-03-16,65.01
Lem,Lillee,1987-04-14,97.4
Prudi,Testo,1995-06-03,13.28
Darcie,Melland,1997-11-27,7.84
Corine,Spenclay,1972-03-17,92.15
Carole,Wannan,1981-03-16,2.65
Darcy,Mount,1977-04-28,5.88
Juan,Liven,2010-12-20,26.57
Judon,Lias,2010-02-24,98.58
Zacharias,De Cristoforo,1983-07-16,88.09
Shaw,Bladon,2010-09-21,3.22
Miller,Portal,2007-11-17,95.79
Berkly,Drepp,1997-06-03,65.95
Gabrila,Prall,2023-02-16,76.3
Tymon,Nutting,1995-01-22,32.33
Henry,Atchly,2002-10-17,39.13
Bo,Rossi,1997-10-17,27.25
Whitman,Farrant,2020-09-20,71.2
Nanine,Cheale,1980-08-01,36.62
Jenifer,Michell,2010-06-09,14.03
Drusi,Christofor,1980-09-30,83.88
Agretha,Geekie,2009-08-11,41.12
Johnathan,Cluley,2007-10-15,26.36
Prudi,Magenny,2015-10-13,82.55
Dorella,Glew,1986-02-11,21.17
Prentice,Guyers,1971-08-31,80.31
Codie,Abade,1997-12-02,11.74
Lucian,Callingham,2019-10-29,91.11
Raye,Larchier,1983-07-07,87.91
Andrey,Seear,1975-03-12,88.36
Matthias,Pavelin,1991-05-08,94.25
Nathanael,Nijs,2016-04-04,81.11
Thoma,Sheen,2016-08-14,14.23
Shantee,Ebbotts,1998-05-30,68.57
Kevan,Dwane,1977-07-03,87.25
Madeleine,Stoneley,2006-04-02,47.53
Cordula,Asprey,1995-07-17,49.5
Alberik,Passy,2017-03-07,3.17
Tabby,Girt,1971-12-09,29.98
Maryrose,Clapston,2009-07-13,76.17
