first_name,last_name,date_of_birth,weight
Doria,Conigsby,1985-10-08,95.32
Diannne,Bassett,2022-10-17,44.66
Port,Semeradova,1984-01-15,63.82
Catha,Drayn,1995-10-15,2.61
Nydia,Iban,1988-01-14,78.12
Mirilla,Hiom,2014-08-26,78.3
Linet,Whalley,1983-02-20,98.13
Ewan,Pearl,2017-11-15,97.19
Farris,Noddings,2006-12-24,31.7
Bethina,Eburne,2015-12-25,3.76
Sibelle,Jeenes,1999-04-25,31.7
Theodore,Killelea,1993-02-15,13.56
Calvin,Tyne,1984-01-31,48.45
Dionne,Ferryman,2015-07-18,74.26
Vincents,Ber,1995-01-25,83.19
Adele,Gogie,1991-10-15,10.69
Deva,Worrell,2022-06-06,78.0
Aretha,Pretty,1980-04-25,97.88
Robin,Gimblet,2023-02-07,88.95
Sib,Redler,2021-03-10,4.09
Brendan,Futty,1994-03-09,22.88
Chrysa,Kasbye,2013-10-29,23.03
Hildegaard,Kohring,2006-06-06,22.26
Sheilah,Durning,1988-01-13,21.64
Dayna,Meany,1988-01-08,21.75
Venus,Loody,1996-07-12,39.08
Dore,Bigrigg,1980-04-01,47.58
Rosamond,Phillipps,1991-02-21,78.77
Mahalia,Guihen,1992-07-26,92.29
Giulia,Gyver,2008-01-21,5.27
Merridie,Joselovitch,2018-11-17,66.81
Kordula,Weatherill,1997-08-06,34.45
Pammi,Haggie,2000-05-23,8.0
Kenn,Ewence,1989-10-25,65.31
Aluino,Willsmore,2004-10-17,50.97
Frederique,Feely,1984-05-14,31.25
Valry,Menendes,2005-11-23,54.89
Carole,Gullen,1996-12-07,54.86
Reinold,Coppen,1991-02-09,77.86
Gale,Manueau,2002-08-19,71.49
Cornelle,Sultan,1998-11-25,32.51
Kristopher,Gartside,2002-12-25,32.88
Shirley,Mellenby,2001-10-11,48.85
Renaud,Robertot,1989-11-30,97.54
Penrod,Slimmon,1981-05-17,51.2
Rodger,Tirone,1998-12-07,26.11
Odille,Foxton,1991-04-17,4.47
Stace,Daniell,2018-08-12,65.99
Fidela,Eldritt,2014-12-01,45.56
Linus,Sprouls,2004-02-02,57.23
Marya,MacKay,1988-03-18,67.07
Sammy,Yarn,1995-05-01,12.6
Kailey,Dignam,1994-08-13,6.07
Graig,Olensby,2010-03-29,14.66
Jolene,Trenbey,1994-11-20,91.57
Wain,Algeo,2012-01-13,38.49
Redford,Grabham,2019-11-12,62.98
Roberta,Coughlin,2014-12-22,16.41
Salli,Ailward,2021-10-29,99.6
Vassili,Larvor,1996-03-01,29.61
Talbert,Mum,1983-10-15,80.02
Charla,Trudgian,2002-12-06,58.28
Jen,Saltwell,2005-02-20,39.0
Tuckie,Shay,1984-01-06,48.28
Anica,Sommerville,2008-06-12,29.12
Elbertine,Rushe,2004-08-23,43.56
Vivie,Herreros,1984-01-28,21.91
Albie,Sibbe,1981-05-08,85.79
Barr,Jammes,2021-06-08,38.66
Harris,Caltera,2018-01-19,61.58
Pru,Brickhill,1992-07-17,45.31
Micky,Bidder,1999-01-25,58.23
Dorothee,Naisbit,1990-09-06,15.34
Bar,Gruczka,1993-05-18,84.03
Alasteir,Jiras,2017-08-13,51.83
Gwenni,Casperri,1985-06-15,26.87
Natka,Nolleth,2018-06-08,73.42
Ernesto,Craighall,1982-03-24,71.1
Adelaida,Suermeiers,1983-12-15,72.51
Gunther,Neylon,1986-09-21,69.43
Corly,Quesne,1995-08-11,80.24
Lorain,Tripp,2000-04-28,27.57
Timmy,Milson,1987-02-21,45.46
Delmore,Corkett,1985-06-05,68.49
Chelsy,Brashier,2011-11-29,64.04
Deeann,Buncher,2017-12-10,99.67
Salaidh,Chalker,2000-09-16,72.23
Carmen,Harsum,1995-02-22,9.06
Billy,Zink,1993-09-12,70.53
Kacie,Sulland,1981-04-08,38.29
Vere,Kidwell,1999-07-10,77.37
Amil,Vasquez,1992-09-19,8.13
Dar,Jorissen,2000-07-02,15.32
Chancey,Scrinage,2019-01-18,96.38
Bethina,Draye,2009-10-20,36.46
Courtney,Filpi,2000-07-14,6.77
Ruprecht,Nesbit,2017-09-10,46.37
Kai,Nightingale,1996-06-27,69.96
Carmella,Meindl,2000-10-11,80.76
Sofie,Kenwell,1996-07-07,83.58
Jeremy,Gaber,1999-08-06,83.84
Dom,Ollett,1987-12-29,42.47
Meredithe,Critcher,1993-10-19,57.45
Rudie,Baggelley,2019-12-03,30.93
Tawnya,Corter,2003-10-23,76.27
Ellery,Kenway,2003-10-13,23.58
Wallie,Lambillion,2015-07-02,39.39
Ailis,Khristyukhin,2018-03-21,47.0
Enrika,Heigho,1984-04-26,11.91
Langston,Keningley,2012-02-15,49.54
Liana,Rosengarten,1989-06-17,72.53
Aida,Mitkov,1999-06-21,79.95
Curran,O'Dempsey,2017-06-05,20.25
Georgena,Iacovuzzi,1991-11-18,41.63
Cathi,Badder,1998-08-13,72.75
Demetris,Willcot,2008-10-06,73.88
Klement,West,2002-10-28,11.03
Nicolai,Blount,2007-11-30,21.87
Flss,Berre,2020-02-08,36.57
Ibrahim,Comrie,1996-06-23,46.15
Aeriell,Aisthorpe,1981-10-15,83.12
Elton,Woollends,1993-06-01,75.39
Del,Merkle,2007-12-12,21.47
Elmer,Orehead,2013-08-07,90.18
Kipper,Levet,2007-05-10,69.09
Reade,Diggar,2002-06-28,98.24
Agna,Collar,1988-11-23,21.21
Micky,Wreak,1996-07-08,82.61
Nate,Franciskiewicz,1999-06-23,30.24
Jeralee,Brise,1993-04-01,50.43
Sybyl,Grafhom,2009-08-11,11.31
Junia,Cogswell,2007-06-07,7.06
Cointon,Lattimer,2006-04-09,79.63
Netta,Kendrew,2011-07-30,49.29
Karel,Kennermann,1989-08-27,78.05
Lotta,Kennifick,2013-07-07,15.1
Franz,Othen,2009-09-23,55.77
Marie-jeanne,Gwynne,1988-07-30,66.56
Lacie,Cockshut,1986-11-18,54.86
Willey,Mewe,1984-10-25,68.5
Jarrett,Wear,2013-11-27,71.61
Ysabel,Dare,2018-06-09,3.69
Brnaba,Thunders,1988-10-11,93.44
Gram,Dongles,1993-12-25,80.27
Gordie,Shortan,1990-04-21,30.0
Junia,Lyster,2006-12-02,21.46
Doll,Brash,2017-04-07,79.36
Hallsy,Haxby,2008-01-27,12.06
Zolly,Denerley,2000-06-20,20.96
Sarita,Stolle,1987-12-21,15.98
Pandora,Broughton,2009-02-23,91.82
Lorelei,Bettesworth,2001-02-18,76.75
Beverie,Bonifant,1982-07-18,19.81
Joby,Fonteyne,2001-09-19,56.9
Anastassia,Bruun,2022-10-09,92.2
Dorolisa,Gourdon,2016-10-27,34.29
Antoine,Awcock,2005-10-20,58.14
Vivi,Neads,1988-01-07,45.52
Costanza,Bertson,1988-05-07,1.1
Merv,Llewelly,2020-11-24,52.28
Nettie,Thairs,1989-06-18,19.81
Teodorico,Casel,2013-10-31,55.7
Annabal,Gain,2005-05-13,47.77
Berty,Arundel,1991-05-05,47.14
Langston,Trinke,1993-10-17,4.86
Catlin,Craiker,1993-03-12,66.85
Lesley,Mattheus,2007-09-16,98.44
Torie,Josovitz,2011-05-02,51.75
Artus,Jossum,2010-06-20,9.47
Nerta,Bickers,1986-09-10,14.12
Prent,Karel,1992-08-01,8.83
Eveleen,Kighly,2013-07-25,59.09
Reese,O'Luney,1995-08-10,10.6
Stanislaus,Shipcott,1997-02-13,77.85
Katerine,Mates,2022-06-16,14.27
Sherlocke,Shires,2014-12-07,81.53
Darrick,Itzak,2022-03-24,33.72
Ken,Hartzogs,2020-03-11,78.92
Delmore,Iwaszkiewicz,1993-10-31,30.84
Liesa,Jamson,1992-10-09,6.72
Kile,Remer,2002-01-21,86.47
Dody,Moyer,2013-05-04,55.04
Corrina,Lilloe,1990-07-08,47.0
Georgetta,Docksey,2001-06-08,73.3
Devy,Murty,1981-11-22,82.73
Henka,Stampfer,2014-11-07,39.36
Stacee,Fish,2012-04-05,69.34
Sally,Mattaser,1987-09-02,37.43
Hube,Stickels,2017-12-29,72.58
Bertha,McGeady,1998-03-01,87.32
Janela,Wisham,1984-05-19,67.78
Aeriell,Labeuil,1986-12-04,63.93
Reed,Klimkin,2017-04-14,62.75
Tam,Coade,1986-11-15,48.3
Yoshi,Hatliff,2021-04-06,66.22
Pincus,Rissen,1999-03-10,91.33
Agnella,Skull,2016-04-27,62.56
Myrtle,Fadian,1996-03-24,36.46
Josh,Ricart,1985-02-25,51.21
Thomas,Villaron,2005-08-18,26.13
Teador,Dallman,2018-05-23,80.53
Rivalee,Ritzman,2002-12-29,72.23
Sargent,Hannis,2004-12-07,53.94
Darrel,Christophersen,1993-12-17,79.3
Guntar,Simonich,1991-07-17,43.61
Leslie,Malam,2000-01-11,62.77
Jude,Straine,2018-09-26,72.23
Marita,Stables,2022-06-25,61.26
Janis,Cabrales,2012-05-27,30.55
Lucilia,Dudmesh,2019-07-19,33.18
Corette,McHarry,2014-11-28,32.83
Tobi,Bahia,2010-10-07,6.55
Brendan,Maior,1990-12-26,17.06
Dinny,Castana,1998-05-25,39.69
Beverly,Siggee,2021-03-11,18.78
Edyth,Robbel,1980-06-10,8.19
Meris,Petz,2014-07-08,3.55
Lolita,Alonso,2022-08-10,57.24
Torrin,Franek,1981-10-26,6.35
Staci,Moule,2014-08-18,3.78
Biddie,Alexsandrowicz,1993-06-13,15.52
Dotty,Galley,1984-03-22,26.77
Dion,Fretter,2001-01-20,86.22
Joelie,Dyshart,1988-08-10,44.44
Rogerio,Cornewell,2022-09-17,49.15
Jermaine,Sporton,1990-11-27,13.48
Nathanael,Beves,2002-10-14,59.16
Rutherford,Kerne,2016-03-24,69.59
